"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","code saison","code avion","Livraison","Matériau d'emballage","Préparation","DQR","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"11084",11084,"aides culinaires et ingrédients divers","algues","Agar (algue), cru","Seaweed, agar, raw","2",0,"Ambiant (long)","LDPE","Pas de préparation",2.99,1.2260253,6.7458055,0.0000010171471,11.050022,0.038875337,7.172887e-7,4.771949e-8,6.1080188e-9,0.099733317,0.001867933,0.0132801,0.12734989,43.368466,24.699395,3.0791209,315.05717,0.000087557674
"11023",11023,"aides culinaires et ingrédients divers","herbes","Ail séché, poudre","Garlic, powder, dried","2",0,"Ambiant (long)","Verre","Pas de préparation",4.11,0.10351305,0.75027428,1.2293325e-7,0.17226946,0.0029361773,8.2628759e-8,9.2819816e-9,4.3436315e-10,0.0062464528,0.00012464559,0.0023785888,0.012784855,5.6725313,20.508995,2.5857634,12.701604,0.000006647749
"11000",11000,"aides culinaires et ingrédients divers","herbes","Ail, cru","Garlic, fresh","2",0,"Ambiant (long)","Pas d'emballage","Pas de préparation",3.54,0.064652051,0.3580429,5.4839983e-8,0.14397077,0.0010808698,2.3448846e-8,6.066248e-9,2.8247855e-10,0.0020356407,0.000068833516,0.0021968034,0.0063935712,4.06465,18.871203,3.1041456,6.2753846,0.0000037711208
"11093",11093,"aides culinaires et ingrédients divers","herbes","Aneth, frais","Dill, fresh","2",0,"Ambiant (long)","LDPE","Pas de préparation",3.75,0.13158055999999999,0.81343604,6.2688292e-8,0.14134172,0.0025585049,6.8967201e-8,9.7399896e-9,5.867577e-10,0.008112039,0.00020343308,0.0040503998,0.031181447,5.534832,36.288833,5.2903347,12.553109,0.0000047788247
"20995",20995,"aides culinaires et ingrédients divers","algues","Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated","2",0,"Ambiant (long)","LDPE","Pas de préparation",2.99,1.2260253,6.7458055,0.0000010171471,11.050022,0.038875337,7.172887e-7,4.771949e-8,6.1080188e-9,0.099733317,0.001867933,0.0132801,0.12734989,43.368466,24.699395,3.0791209,315.05717,0.000087557674
"20998",20998,"aides culinaires et ingrédients divers","algues","Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated","2",0,"Ambiant (long)","LDPE","Pas de préparation",2.99,1.1994911000000001,6.5607443,9.8036369e-7,11.037991,0.034930597,7.1057002e-7,4.712999e-8,5.9965921e-9,0.094211475,0.0018587903,0.011911677,0.11215712,42.723457,24.212583,3.0757212,312.63228,0.000087251397
"37000",37000,"aides culinaires et ingrédients divers","ingrédients divers","Base de pizza à la crème","cream sauce for pizza base","2",0,"Ambiant (long)","Carton","Pas de préparation",2.89,0.21758125,1.9605044,1.0377938e-7,0.72916023,0.0037583282,1.4428278e-7,2.8469578e-8,1.2813597e-9,0.019282661,0.00030967822,0.0067047269,0.079039484,19.241559,94.993989,0.44938315,23.187248,0.000016845308
"37002",37002,"aides culinaires et ingrédients divers","ingrédients divers","Base de pizza tomatée","Tomato sauce for pizza base","2",0,"Ambiant (long)","Carton","Pas de préparation",3.19,0.14641667,0.71829418,1.1254467e-7,0.57046865,0.0028980743,7.2171042e-8,3.8188584e-8,9.9331499e-10,0.0079974529,0.00017952808,0.0041748333,0.030206132,9.876105,63.813893,3.8629121,21.377295,0.0000069770922
"11033",11033,"aides culinaires et ingrédients divers","herbes","Basilic, frais","Basil, fresh","2",0,"Ambiant (long)","LDPE","Pas de préparation",3.75,0.13158055999999999,0.81343604,6.2688292e-8,0.14134172,0.0025585049,6.8967201e-8,9.7399896e-9,5.867577e-10,0.008112039,0.00020343308,0.0040503998,0.031181447,5.534832,36.288833,5.2903347,12.553109,0.0000047788247
"11032",11032,"aides culinaires et ingrédients divers","herbes","Basilic, séché","Basil, dried","2",0,"Ambiant (long)","Verre","Pas de préparation",3.75,0.39723177000000004,1.5491977,1.6691206e-7,0.16895693,0.0069510362,2.5620137e-7,3.3215037e-8,1.9332066e-9,0.030718928,0.00045461562,0.015129171,0.11831996,18.0029957,138.17198,19.904111,18.621583,0.000014372288
